form	volume	scan	headword_ocr	printed
ACINDYNOS	bsb11762465	1094	Sicher .	ἀκίνδυνος
ACINETHS	bsb10314207	98	Vn	ἀκίνηθς
ACINETOS	bsb11762465	619	ge Schrifft .	ἀκίνητος
ACIONACES	bsb11762465	1078	Sebel .	ἀκιωνάκης
ACIONAKES	bsb11762465	1078	Sebel .	ἀκιωνάκης
ACIPIISER	bsb11762465	1137	Acipenser , ſturio .	ἀκίπιισερ
ACIS	bsb11762465	249	Bolk / Pfeil .	ἀκὶς
ACKEIN	bsb10314207	48	dinges .	ἀκκειν
ACKREON	bsb11762465	827	Le	ἀκκρέον
ACLE	bsb11762465	565	Gestadt .	ἀκλὴ
ACLEES	bsb10314207	106	Vnehrlich .	ἀκλεὴς
ACLERIA	bsb11762465	649	Gut Glück .	Ακληρία
ACLILEAS	bsb10314207	42	De	ἀκλιλέας
ACLILON	bsb10314207	223	Zerschleiffen .	ἀκλιλῶν
ACLINES	bsb10314207	98	Vn	ἀκλινὴς
ACLONETA	bsb10314207	98	Vn	ἀκλόνητα
ACLU	bsb10314207	146	werden ...	ἀκλύ
ACLUDONISTH	bsb10314207	98	Vn	ἀκλυδωνισΘ
ACLUEIN	bsb10314207	258	Zivitracht stillen .	ἀκλύειν
ACLUTAZ	bsb11762465	383	pillet .	ἀκλύταζ
ACLUTOS	bsb10314207	106	Pnedel .	ἄκλυτος
ACLY	bsb10314207	146	werden ...	ἀκλύ
ACLYDONISTH	bsb10314207	98	Vn	ἀκλυδωνισΘ
ACLYEIN	bsb10314207	258	Zivitracht stillen .	ἀκλύειν
ACLYTAZ	bsb11762465	383	pillet .	ἀκλύταζ
ACLYTOS	bsb10314207	106	Pnedel .	ἄκλυτος
ACMA	bsb11762465	761	Ju	ἀκμά
ACMAINEOTHAI	bsb11762465	634	Grünmig sein .	ἀκμαίνεοθαι
ACMAZEIN	bsb11762465	239	reicht haben .	ἀκμάζειν
ACMAZESA	bsb11762465	860	Mannbar .	ακμαζεσα
ACMAZESAI	bsb11762465	758	Jungfrauw .	ἀκμάζεσαι
ACMAZON	bsb11762465	860	Mannbar .	ἀκμάζων
ACME	bsb10314207	99	Inbrechhafft .	ἀκμή
ACMEN	bsb11762465	239	reicht haben .	ἀκμὴν
ACMOIASAN	bsb10314207	201	Wischen . 1	ακμοίασαν
ACMON	bsb11762465	87	Ambof .	ἄκμων
ACNEROS	bsb11762465	485	Fr	ἀκνηρὸς
ACNIOS	bsb10314207	113	grob .	ἄκνιος
ACNUEIN	bsb10314207	176	Weisen .	ακνύειν
ACNYEIN	bsb10314207	176	Weisen .	ακνύειν
ACOE	bsb11762465	555	Gerücht .	ἀκοὴ
ACOEN	bsb11762465	207	Beteuben .	ἀκοὴν
ACOI	bsb11762465	907	Mutwillig .	ἀκοί
ACOITE	bsb11762465	349	Ehemann .	ἀκοίτη
ACOLA	bsb11762465	481	Frech .	ἀκόλα-
ACOLACOU	bsb10314207	107	Vnerbittlich .	ἀκολάκου-
ACOLACOULE	bsb11762465	842	cheln .	ακολακούλη
ACOLACU	bsb10314207	107	Vnerbittlich .	ἀκολάκου-
ACOLACULE	bsb11762465	842	cheln .	ακολακούλη
ACOLAFENEIN	bsb11762465	721	treiben .	ἀκολαφήνειν
ACOLAKOU	bsb10314207	107	Vnerbittlich .	ἀκολάκου-
ACOLAKOULE	bsb11762465	842	cheln .	ακολακούλη
ACOLAKU	bsb10314207	107	Vnerbittlich .	ἀκολάκου-
ACOLAKULE	bsb11762465	842	cheln .	ακολακούλη
ACOLAPHENEIN	bsb11762465	721	treiben .	ἀκολαφήνειν
ACOLASOS	bsb10314207	126	Vnnüşer Mensch .	ἀκόλασος
ACOLASTENEIN	bsb11762465	721	treiben .	ἀκολαστήνειν
ACOLASTH	bsb11762465	924	Nichtiger Mensch .	ἀκόλαςΘ
ACOLCTHEIN	bsb10314207	240	folgen .	ἀκολκθεῖν
ACOLETHA	bsb11762465	580	Gleich .	ἀκόλεθα
ACOLETHEEIN	bsb11762465	478	Folgen .	ἀκολεθέειν
ACOLETHEIN	bsb11762465	171	Sequi ad monumentum .	ἀκολεθεῖν
ACOLETHEON	bsb11762465	478	Obedire & fequi ducem .	ἀκολεθεῶν
ACOLETHOI	bsb11762465	433	Fackelträger .	ἀκόλεθοι
ACOLETHON	bsb11762465	620	Scita legum cæleftium .	ἀκολέθων
ACOLETHOS	bsb11762465	101	Anhenger .	ἀκόλεθος
ACOLEXON	bsb11762465	535	Geferdeen geben .	ἀκόλεξον
ACOLITHON	bsb11762465	584	Gleublich .	ἀκόλιθον
ACOLKTHEIN	bsb10314207	240	folgen .	ἀκολκθεῖν
ACOLO	bsb11762465	1143	Stück .	ἄκολο
ACOLOLOMTHUO	bsb10314207	58	Verjagter .	ἀκολωλόμθυο
ACOLOLOMTHYO	bsb10314207	58	Verjagter .	ἀκολωλόμθυο
ACOLOS	bsb11762465	262	Brocken . 2	ἄκολος
ACOLUTHEIN	bsb10314207	247	Ter . Produe in funus .	ἀκολυθεῖν
ACOLYTHEIN	bsb10314207	247	Ter . Produe in funus .	ἀκολυθεῖν
ACOMISIA	bsb10314207	62	Verlust / Schade .	άκομισία
ACOMPSO	bsb10314207	95	Vnartig .	ἄκομψο
ACON	bsb10314207	113	Vngern .	ἄκων
ACONAEIN	bsb11762465	1035	Scherffen .	ἀκονάειν
ACONE	bsb10314207	183	Wenstein .	ἀκόνη
ACONEEIN	bsb11762465	319	Dienstleisten .	ακονέειν
ACONIS	bsb11762465	1022	Schaffelein .	ἀκόνισ-
ACONITON	bsb10314207	205	Wolfin .	ακονιτον
ACONPON	bsb11762465	249	Bolk / Pfeil .	ἀκόνπον
ACONTA	bsb10314207	113	Aduerbialiter .	ἄκοντα
ACONTES	bsb11762465	333	geschoß .	ἀκοντής
ACONTION	bsb11762465	953	Pfeil .	ἀκόντιον
ACONTIZAN	bsb11762465	997	Reutern / ficben .	ἀκοντίζαν
ACONTIZEIN	bsb11762465	249	Bolen .	ακοντίζειν
ACONZO	bsb10314207	52	Ve	ἀκόνζω
ACOPOTOI	bsb11762465	829	Leichtlich .	ἀκοπότοι
ACOPTEIN	bsb10314207	223	Zerschneiden .	ακόπτειν
ACORE	bsb11762465	1143	St	ἀκορή-
ACORETOS	bsb11762465	522	Ga	ἀκορήτως
ACORIA	bsb11762465	330	Dorn .	ἀκωρία
ACORON	bsb11762465	876	Me	ακορῶν
ACOS	bsb10314207	213	Würffelspiel .	ἄκος
ACOSIOS	bsb11762465	200	Aduerbialiter .	ἀκοσίως
ACOSMA	bsb11762465	702	Ho	ἀκοσμά
ACOSMIA	bsb10314207	106	Vnehr .	ἀκοσμία
ACOTRIOS	bsb11762465	581	Diuerfum fentire .	ἀκοτρίως
ACOURITIEIN	bsb11762465	144	pfeiffen .	ἀκουρίτιειν
ACRA	bsb10314207	129	verhalten .	άκρα-
ACRADI	bsb11762465	1027	Scharff / Recht .	ἀκραδί-
ACRAGALIZEIN	bsb11762465	895	Ms	ἀκραγαλίζειν
ACRAIA	bsb11762465	758	Jungfrauw .	ἄκραία
ACRAIFNES	bsb11762465	626	Gold .	ἀκραιφνὴς
ACRAIPHNES	bsb11762465	626	Gold .	ἀκραιφνὴς
ACRANOMICES	bsb11762465	693	fchen .	ἀκρανομικῆς
ACRANOMIKES	bsb11762465	693	fchen .	ἀκρανομικῆς
ACRAS	bsb11762465	227	Audire deprecantem .	ἀκρὰς
ACRASIAS	bsb11762465	255	Viuere intemperanter ,	ἀκρασίας
ACRATES	bsb10314207	111	Vngedültig .	ἀκρατὴς
