form	volume	scan	headword_ocr	printed
anachal	bsb11762465	477	Fluß .	anachal
anachanak	bsb11762465	1091	Seuffgen .	anachanak
anachorita	bsb11762465	369	Einſidler .	anachorita
anad	bsb11762465	666	Hefften .	anad
anaf	bsb11762465	1017	Sanfftimütig .	anaf
anafch	bsb11762465	1139	Straffen .	anafch
anah	bsb10314207	149	Prsach .	anah
anak	bsb11762465	143	Plaut . Exugere , exorbere	anak
anakim	bsb11762465	1001	Riese .	anakim
anal	bsb11762465	227	Eitt erhören .	anal
anan	bsb11762465	919	Nebel .	anan
ananabh	bsb10314207	203	Wolcke .	ananabh
anaph	bsb10314207	255	nes Baums .	anaph
anauah	bsb10314207	236	Zucht / Demuth .	anauah
anchad	bsb11762465	195	Beschawen .	anchad-
anchanach	bsb10314207	102	Unterrichten .	anchanach
anelchamah	bsb11762465	1078	Seele .	anelchamah
anfallen	bsb11762465	99	, Angehen .	Anfallen
anfang	bsb10314207	150	Vrsprung .	Anfang
anfeher	bsb11762465	104	Anfchen .	Anfeher
angenim	bsb10314207	181	Werth .	Angenim
angere	bsb11762465	334	Drücken .	angere
angor	bsb10314207	22	Trawrigkeit .	angor
angufti	bsb11762465	783	Cuminum , cyn i sum .	angufti
anima	bsb10314207	167	We	anima
animi	bsb10314207	131	Pnschuldt .	animi
anis	bsb10314207	227	Biet .	anis
anklagen	bsb10314207	60	Verklagen .	Anklagen
anmar	bsb11762465	1014	Sagen / reden .	anmar
anneau	bsb11762465	466	Fingerring .	anneau
annectere	bsb11762465	93	Amptman .	annectere
anni	bsb11762465	922	New Jahr .	anni
annoncer	bsb10314207	254	Zu	annoncer
annotation	bsb11762465	106	Anzeigung .	annotation
annuere	bsb10314207	56	Vergunnen .	annuere
anon	bsb11762465	1103	Sünde .	anon
anteire	bsb10314207	40	Vbertreffen .	anteire
anteuertere	bsb10314207	40	Vbertreffen .	anteuertere
anticipare	bsb10314207	148	Vorkommen .	anticipare
antur	bsb11762465	680	Herbst .	antur
anxietas	bsb10314207	22	Trawrigkeit .	anxietas
anypodetus	bsb11762465	156	Barfuß .	Anypodetus
aouft	bsb11762465	132	Au	Aouft
apas	bsb10314207	54	De	apas
apel	bsb11762465	466	Finster .	apel
aperire	bsb11762465	125	Auffschliessen .	aperire
apes	bsb11762465	743	Imme / Biene .	apes
aphabh	bsb10314207	90	Vmbgang .	aphabh
aphach	bsb11762465	1076	Schwillen .	aphach
aphachoreph	bsb11762465	1093	Si	aphachoreph
aphad	bsb11762465	1010	Rüsten .	aphad
aphak	bsb11762465	494	Frolocken .	aphak
aphaphas	bsb10314207	46	Verdammung .	aphaphas
aphappaiim	bsb11762465	131	deckel .	aphappaiim
aphar	bsb11762465	66	Abschreiben .	aphar
aphaſch	bsb11762465	441	Faul seyn .	aphaſch
aphe	bsb10314207	206	Wo	aphe
aphel	bsb11762465	336	Dunckel .	aphel
aphelah	bsb11762465	466	Finsterniß	aphelah
aphik	bsb11762465	477	Fluß .	aphik
apis	bsb11762465	743	Imme / Biene .	Apis
apocalypfi	bsb11762465	1002	Rock .	apocalypfi
appaiim	bsb11762465	100	An	appaiim
appalim	bsb11762465	919	Nafelocher .	appalim
apparatus	bsb11762465	540	Gekocht .	apparatus
appareille	bsb11762465	189	Be	appareille
apparence	bsb11762465	104	Anfchen .	apparence
appellare	bsb11762465	194	Beruffen / fordern .	appellare
appelle	bsb11762465	132	Au	appelle
appetens	bsb11762465	341	Durstig .	appetens
appetere	bsb11762465	546	Gelüften / Begeren .	appetere
appetit	bsb11762465	108	Ap	appetit
appluere	bsb11762465	202	Besprengen .	appluere
approbare	bsb11762465	219	Bezeugen .	approbare
apud	bsb10314207	105	Unterweilen .	apud
aquam	bsb11762465	1035	Schepffen .	aquam
arab	bsb11762465	68	Ab	arab
arabbah	bsb10314207	195	Wildniß ......	arabbah
arabchabhar	bsb11762465	767	Ka	arabchabhar
arabh	bsb10314207	169	Weiden .	arabh
arabhah	bsb10314207	210	Wu	arabhah
arabhalach	bsb10314207	64	Vermischen .	arabhalach
arabhoth	bsb11762465	690	Himmel .	arabhoth
arach	bsb10314207	247	Zurichten .	arach
arah	bsb10314207	111	Ungehorsamkeit .	arah
arak	bsb11762465	822	Lauffen / Fliehen .	arak
aram	bsb11762465	214	Betriegen .	aram
araph	bsb11762465	258	Brechen .	araph
arar	bsb11762465	477	Fluchen .	arar
arbeiten	bsb11762465	1024	Gallic . chien dogue .	Arbeiten
arbor	bsb11762465	354	Eichbaum .	arbor
arcadicum	bsb11762465	247	Bo	Arcadicum
arcanum	bsb11762465	536	Geheimnis .	arcanum
arcendo	bsb11762465	276	Burg .	arcendo
arch	bsb11762465	435	Farb	arch
archimagirus	bsb11762465	807	Küchenmeister .	Archimagirus
arco	bsb11762465	243	Regenbogen .	arco
arcula	bsb11762465	978	Rauchfaf .	arcula
arcus	bsb11762465	573	Gewelbe .	arcus
ardenti	bsb10314207	233	Zornig	Ardenti
ardere	bsb11762465	167	Begeren .	ardere
ardet	bsb11762465	788	Kol .	ardet
arefactum	bsb11762465	688	Hew .	arefactum
arelah	bsb11762465	576	Gieffah .	arelah
areph	bsb11762465	1127	rig .	areph
arez	bsb11762465	77	Alle Menschen .	arez
argaman	bsb11762465	971	Purpurkleid .	argaman
argentum	bsb11762465	543	Geleutert Silber .	argentum
argute	bsb11762465	785	Klüglich .	argute
aride	bsb11762465	801	Krek / Reudigkeit .	aride
arieh	bsb11762465	852	Lowe .	arieh
arig	bsb11762465	115	Aft / Zweig .	arig
arits	bsb11762465	1126	Starck .	arits
armentis	bsb11762465	259	brám .	armentis
armon	bsb11762465	766	Kaftanie .	armon
arnébheth	bsb11762465	659	Hafe .	arnébheth
arod	bsb10314207	155	Wa	arod
aron	bsb11762465	778	Kift / Kaft / Truhe .	aron
aros	bsb10314207	170	Weyrauch .	aros
arracher	bsb11762465	55	Abbrechen .	arracher
arreſter	bsb11762465	236	Bleiben .	arreſter
artfah	bsb11762465	925	fich legen .	artfah
articulos	bsb10314207	11	Theilen .	articulos
artifex	bsb11762465	810	Künstler .	Artifex
aruch	bsb11762465	817	Lang .	aruch
aruchat	bsb11762465	56	bendmal .	aruchat
aruga	bsb11762465	943	Ordnung .	aruga
arum	bsb11762465	644	wilden Thier .	arum
arundinea	bsb11762465	789	Korb .	arundinea
arur	bsb10314207	50	Verflucht .	arur
arxab	bsb11762465	276	Burg .	Arxab
arybbah	bsb11762465	289	Rauchloch .	arybbah
asah	bsb10314207	247	Zurichten .	asah
