volume	scan	headword_ocr	token
bsb10314207	98	Vnbiegig .	Kafcheh
bsb10314207	98	Vnbiegig .	ads
bsb10314207	98	Vnbilligkeit .	ofchek
bsb10314207	99	Vnbilliger .	urious
bsb10314207	99	Inbrechhafft .	tamim
bsb10314207	99	Vnbrüchig .	Græc
bsb10314207	100	Vnderbett .	Vide
bsb10314207	100	Untergang .	maarabh
bsb10314207	100	Untergang .	chor
bsb10314207	100	nen .	mebho
bsb10314207	100	nen .	mebho
bsb10314207	100	Untergehen .	hafchichemefch
bsb10314207	101	Vntergraben .	adar
bsb10314207	101	Vntergraben .	nakad
bsb10314207	101	Vnterpfandt .	erab
bsb10314207	101	Unterreden .	dibber
bsb10314207	102	Vn	chanyccah
bsb10314207	102	Unterrichten .	anchanach
bsb10314207	102	Unterrichten .	ahmed
bsb10314207	102	Vnterfah .	mifchan
bsb10314207	102	Unterscheid .	hebdhelprum
bsb10314207	102	Unterscheid .	hephrech
bsb10314207	102	Ba	badal
bsb10314207	102	Ba	parach
bsb10314207	102	Ba	parad
bsb10314207	102	Ba	atfal
bsb10314207	102	Ba	lah
bsb10314207	102	Ba	natar
bsb10314207	103	Vaterseßen .	fam
bsb10314207	103	Vaterseßen .	fam
bsb10314207	103	Vn	hiphil
bsb10314207	103	Vn	hiphil
bsb10314207	103	Vnterfpreiten .	raphad
bsb10314207	103	Vnterfpreiten .	hititia
bsb10314207	103	Vnterfpreiten .	bits
bsb10314207	104	Item .	hol
bsb10314207	104	Item .	iaga
bsb10314207	104	Vnterstehung .	ickum
bsb10314207	104	Vn	faad
bsb10314207	104	Vn	famach
bsb10314207	104	Vn	tamach
bsb10314207	104	Vnterſtükung .	mifad
bsb10314207	105	Vn	hir
bsb10314207	105	Unterweilen .	liphanim
bsb10314207	105	Vnterweisen .	horah
bsb10314207	105	Unterweiser .	melabbed
bsb10314207	105	Unterweiser .	more
bsb10314207	105	Unterweisung .	intorah
bsb10314207	105	Unterweisung .	talmud
bsb10314207	105	Unterweisung .	chanyccah
bsb10314207	105	Unterwerffen .	hirdah
bsb10314207	105	Vnterzelen .	faphar
bsb10314207	105	Vnterzelen .	cafas
bsb10314207	106	Vnehr .	cherpa
bsb10314207	106	Vnehr .	celimah
bsb10314207	106	Vnehr .	calon
bsb10314207	106	Vnehr .	bofcheh
bsb10314207	106	Vnehrlich .	nikleh
bsb10314207	107	Vneinig sein .	nechelak
bsb10314207	108	Vnfürscher .	cefil
bsb10314207	108	Vnfürscher .	nimhar
bsb10314207	109	Vnflat .	droham
bsb10314207	109	Vnflat .	chelah
bsb10314207	110	Vufruchtbar .	akar
bsb10314207	110	Vnfruchtbarkeit .	akarah
bsb10314207	111	Vngefelscht	akitahor
bsb10314207	111	Vugehorsam .	forer
bsb10314207	111	Vugehorsam .	mored
bsb10314207	111	Ungehorsamkeit .	arah
bsb10314207	115	vngewitter .	fearah
bsb10314207	115	vngewitter .	fuphah
bsb10314207	116	Vn	dfaaph
bsb10314207	116	Vn	dfaaph
bsb10314207	116	Waffer .	iam
bsb10314207	116	Waffer .	iam
bsb10314207	118	Ongewitter ...	far
bsb10314207	118	Ongewitter ...	ruach
bsb10314207	118	Ongewitter ...	fuphah
bsb10314207	118	Vnglaubich .	forer
bsb10314207	118	Vugleich	domeb
bsb10314207	119	Vugleich seyn .	hifchthannch
bsb10314207	119	Vugleich seyn .	hithes
bsb10314207	122	Vngunst .	tinah
bsb10314207	122	Vngunst .	bhah
bsb10314207	122	Vngunst .	fonc
bsb10314207	122	Vngunst .	iebh
bsb10314207	122	Vngunst .	iebh
bsb10314207	122	Vngunst .	fatan
bsb10314207	122	ge wolluft .	Gaither
bsb10314207	124	Vn	inchohhalach
bsb10314207	124	Vn	hechlich
bsb10314207	124	Vnlauterfeit .	tamah
bsb10314207	126	Vnnüşer Mensch .	ich
bsb10314207	126	Vnnüşer Mensch .	ich
bsb10314207	129	Vusanfft .	Kachch
bsb10314207	129	Vnfauberkcit .	tomah
bsb10314207	130	schamhafftig .	ads
bsb10314207	130	Vu	fch
bsb10314207	130	Vu	fch
bsb10314207	131	Pnschuldt .	nikaion
bsb10314207	131	Vnschüldig seyn .	kah
bsb10314207	131	Vnsinnig .	meſchygga
bsb10314207	132	Vnsinnigkeit .	fchiggaon
bsb10314207	135	Vnuerborgen .	noda
bsb10314207	135	Vnuerborgen .	galoi
bsb10314207	135	Vnuerborgen .	nirch
bsb10314207	135	Vnucrbunden .	chophſchi
bsb10314207	137	Vnuermeint .	pithom
bsb10314207	137	Vnuermeint .	perha
bsb10314207	138	Vnwarhafftig .	codfebh
bsb10314207	140	Vogel .	volatile
bsb10314207	140	Vogel .	tippor
bsb10314207	140	Vogel .	aiit
bsb10314207	141	Vogelbawr .	Cauca
bsb10314207	141	Voigt .	pakid
bsb10314207	141	Voigtey .	pekyddah
bsb10314207	141	Volck .	goi
bsb10314207	141	Volck .	oleom
bsb10314207	142	Volkommen .	chalem
bsb10314207	142	Volkommen .	chalem
bsb10314207	142	Volkommenheit .	tomchelemuth
bsb10314207	142	Vo	male
bsb10314207	142	trincken .	uahabhak
bsb10314207	143	Vo	ide
bsb10314207	143	Vo	chalak
bsb10314207	143	Vo	chatah
bsb10314207	144	Vo	mit
bsb10314207	144	Vo	mit
bsb10314207	145	Von fernen .	merachok
bsb10314207	147	Voreltern .	abhoth
bsb10314207	148	Item :	nafi
bsb10314207	148	Item :	katin
bsb10314207	148	Item :	alluph
bsb10314207	148	Item :	pecha
bsb10314207	148	Vorhoff .	vlam
bsb10314207	148	Vorkommen .	kiddim
bsb10314207	149	Prsach .	alilah
bsb10314207	149	Prsach .	fibbah
bsb10314207	149	Prsach .	anah
bsb10314207	149	Prsach .	doth
bsb10314207	149	Prsach .	doth
bsb10314207	150	Vrsprung .	makor
bsb10314207	150	fprechen .	don
bsb10314207	150	fprechen .	pillel
bsb10314207	150	Wachen .	ſchakad
bsb10314207	150	Wachen .	Grec
bsb10314207	150	wache .	achumroth
bsb10314207	151	Wachsen .	gadal
bsb10314207	151	Wachsen .	fagah
bsb10314207	151	Wachsen .	gaah
bsb10314207	151	Wachsen .	rabha
bsb10314207	151	Wachsen .	almuth
bsb10314207	151	Wa	parats
bsb10314207	151	Wa	tſoph
bsb10314207	151	Wachtel	trachalaf
bsb10314207	152	Waffen .	kelim
bsb10314207	152	Waffen .	adfenim
bsb10314207	152	Waffen .	nefchek
bsb10314207	152	Wag .	modienaim
bsb10314207	152	Wag .	kaGrxc
bsb10314207	153	POSTICA .	mercaba
bsb10314207	153	POSTICA .	agalab
bsb10314207	153	Wagenteif ...	magal
bsb10314207	154	Wa	iaar
bsb10314207	154	Wa	chorefchah
bsb10314207	155	Wa	arod
bsb10314207	156	Wand .	Korah
bsb10314207	156	Wand .	Kir
bsb10314207	157	Wandeln .	mir
bsb10314207	157	Wandeln .	Græc
bsb10314207	157	Wanderer .	orchach
bsb10314207	157	Wanderer .	orchach
bsb10314207	158	Warhafftig .	neeman
bsb10314207	158	Warhafftiglich .	beemeth
bsb10314207	158	Warheit .	Kocher
bsb10314207	159	Warlich .	amnam
bsb10314207	159	Warlich .	achen
bsb10314207	159	Warsager .	mabhi
bsb10314207	159	mahnen .	dabar
bsb10314207	160	Warumb .	lamma
bsb10314207	160	Warumb .	maddua
bsb10314207	161	Wasserbäche .	venæ
bsb10314207	162	Waſſerfurt .	mabbarah
bsb10314207	162	eymer .	cad
bsb10314207	164	Wechter .	comer
bsb10314207	164	Weg .	nathibh
bsb10314207	164	Weg .	chibhil
bsb10314207	164	Weg .	mefillah
bsb10314207	164	Weg .	michol
bsb10314207	164	Wegen .	fchakal
bsb10314207	164	Wegen .	ididien
bsb10314207	165	Wegreifen .	halach
bsb10314207	165	Wegreifen .	chakak
bsb10314207	165	Weg senden .	chalach
bsb10314207	167	We	beodenni
bsb10314207	167	We	beodenni
bsb10314207	168	4 Weichen .	for
bsb10314207	168	4 Weichen .	for
bsb10314207	168	We	fog
bsb10314207	168	We	mot
bsb10314207	168	Weichigkeit .	uliebritas
bsb10314207	168	Weichigkeit .	raccuth
bsb10314207	169	Weich werden .	rachach
bsb10314207	169	Weiden .	alix
bsb10314207	169	Weiden .	arabh
bsb10314207	169	Weide .	Græc
bsb10314207	169	Weiden .	raah
bsb10314207	170	Weyhe .	daah
bsb10314207	170	Weyhe .	raah
bsb10314207	170	Weyrauch .	lebhonah
bsb10314207	171	Wein .	fobhe
bsb10314207	171	Wein .	melah
bsb10314207	174	We	gephen
bsb10314207	174	We	forck
bsb10314207	174	We	forekah
bsb10314207	174	We	bachah
bsb10314207	174	We	dama
bsb10314207	175	Weinmon .	marche
bsb10314207	175	Weinung .	Græc
bsb10314207	175	Weise .	michat
bsb10314207	176	Weisen .	hirah
bsb10314207	176	Weiß .	chacham
bsb10314207	176	Weiß .	nabhon
bsb10314207	176	Weifheit .	chochmahebhunah
bsb10314207	177	Weißlich .	bechochma
bsb10314207	177	Weißlich .	bithochu
bsb10314207	177	Weyfi .	chur
bsb10314207	177	Weisse .	lobhon
bsb10314207	177	Weisse .	chelbon
bsb10314207	178	Weiffen .	hilbin
bsb10314207	178	Weit .	rauach
bsb10314207	178	Weit .	rauach
bsb10314207	178	Weite .	rochabh
bsb10314207	178	Weit machen .	hirchibh
bsb10314207	178	Weiße .	chittah
bsb10314207	179	Welt .	olam
bsb10314207	179	Welt .	tebel
bsb10314207	180	Welken .	galal
bsb10314207	180	Welkung .	megillah
bsb10314207	180	Wenn .	mathai
